Series ID,Year,Period,Label,Value
CUSR0000SA0,1998,M05,1998 May,162.6
CUSR0000SA0,1998,M06,1998 Jun,162.8
CUSR0000SA0,1998,M07,1998 Jul,163.2
CUSR0000SA0,1998,M08,1998 Aug,163.4
CUSR0000SA0,1998,M09,1998 Sep,163.5
CUSR0000SA0,1998,M10,1998 Oct,163.9
CUSR0000SA0,1998,M11,1998 Nov,164.1
CUSR0000SA0,1998,M12,1998 Dec,164.4
CUSR0000SA0,1999,M01,1999 Jan,164.7
CUSR0000SA0,1999,M02,1999 Feb,164.7
CUSR0000SA0,1999,M03,1999 Mar,164.8
CUSR0000SA0,1999,M04,1999 Apr,165.9
CUSR0000SA0,1999,M05,1999 May,166
CUSR0000SA0,1999,M06,1999 Jun,166
CUSR0000SA0,1999,M07,1999 Jul,166.7
CUSR0000SA0,1999,M08,1999 Aug,167.1
CUSR0000SA0,1999,M09,1999 Sep,167.8
CUSR0000SA0,1999,M10,1999 Oct,168.1
CUSR0000SA0,1999,M11,1999 Nov,168.4
CUSR0000SA0,1999,M12,1999 Dec,168.8
CUSR0000SA0,2000,M01,2000 Jan,169.3
CUSR0000SA0,2000,M02,2000 Feb,170
CUSR0000SA0,2000,M03,2000 Mar,171
CUSR0000SA0,2000,M04,2000 Apr,170.9
CUSR0000SA0,2000,M05,2000 May,171.2
CUSR0000SA0,2000,M06,2000 Jun,172.2
CUSR0000SA0,2000,M07,2000 Jul,172.7
CUSR0000SA0,2000,M08,2000 Aug,172.7
CUSR0000SA0,2000,M09,2000 Sep,173.6
CUSR0000SA0,2000,M10,2000 Oct,173.9
CUSR0000SA0,2000,M11,2000 Nov,174.2
CUSR0000SA0,2000,M12,2000 Dec,174.6
CUSR0000SA0,2001,M01,2001 Jan,175.6
CUSR0000SA0,2001,M02,2001 Feb,176
CUSR0000SA0,2001,M03,2001 Mar,176.1
CUSR0000SA0,2001,M04,2001 Apr,176.4
CUSR0000SA0,2001,M05,2001 May,177.3
CUSR0000SA0,2001,M06,2001 Jun,177.7
CUSR0000SA0,2001,M07,2001 Jul,177.4
CUSR0000SA0,2001,M08,2001 Aug,177.4
CUSR0000SA0,2001,M09,2001 Sep,178.1
CUSR0000SA0,2001,M10,2001 Oct,177.6
CUSR0000SA0,2001,M11,2001 Nov,177.5
CUSR0000SA0,2001,M12,2001 Dec,177.4
CUSR0000SA0,2002,M01,2002 Jan,177.7
CUSR0000SA0,2002,M02,2002 Feb,178
CUSR0000SA0,2002,M03,2002 Mar,178.5
CUSR0000SA0,2002,M04,2002 Apr,179.3
CUSR0000SA0,2002,M05,2002 May,179.5
CUSR0000SA0,2002,M06,2002 Jun,179.6
CUSR0000SA0,2002,M07,2002 Jul,180
CUSR0000SA0,2002,M08,2002 Aug,180.5
CUSR0000SA0,2002,M09,2002 Sep,180.8
CUSR0000SA0,2002,M10,2002 Oct,181.2
CUSR0000SA0,2002,M11,2002 Nov,181.5
CUSR0000SA0,2002,M12,2002 Dec,181.8
CUSR0000SA0,2003,M01,2003 Jan,182.6
CUSR0000SA0,2003,M02,2003 Feb,183.6
CUSR0000SA0,2003,M03,2003 Mar,183.9
CUSR0000SA0,2003,M04,2003 Apr,183.2
CUSR0000SA0,2003,M05,2003 May,182.9
CUSR0000SA0,2003,M06,2003 Jun,183.1
